

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines

000.020  000.020: --- NVIM STARTING ---
000.443  000.423: locale set
001.598  001.155: inits 1
001.653  000.055: window checked
001.663  000.010: parsing arguments
001.666  000.003: expanding arguments
002.120  000.455: inits 2
002.497  000.377: init highlight
004.411  001.145  001.145: sourcing /home/mason/.nvim/bundle/neobundle.vim/autoload/neobundle/util.vim
006.665  003.728  002.582: sourcing /home/mason/.nvim/bundle/neobundle.vim/autoload/neobundle.vim
007.456  000.480  000.480: sourcing /home/mason/.nvim/bundle/neobundle.vim/autoload/neobundle/init.vim
009.892  001.751  001.751: sourcing /home/mason/.nvim/bundle/neobundle.vim/autoload/neobundle/config.vim
011.080  000.655  000.655: sourcing /home/mason/.nvim/bundle/neobundle.vim/autoload/neobundle/autoload.vim
012.768  000.837  000.837: sourcing /home/mason/.nvim/bundle/neobundle.vim/autoload/neobundle/parser.vim
014.500  000.955  000.955: sourcing /home/mason/.nvim/bundle/neobundle.vim/autoload/neobundle/types/git.vim
085.359  000.076  000.076: sourcing /home/mason/.nvim/bundle/vim-orgmode/ftdetect/org.vim
085.576  000.093  000.093: sourcing /home/mason/.nvim/bundle/ultisnips/ftdetect/UltiSnips.vim
085.687  000.073  000.073: sourcing /home/mason/.nvim/bundle/ultisnips/ftdetect/snippets.vim
085.986  000.068  000.068: sourcing /home/mason/.nvim/bundle/neobundle.vim/ftdetect/vimrecipe.vim
086.191  033.715  033.407: sourcing /usr/share/nvim/runtime/filetype.vim
086.592  000.079  000.079: sourcing /usr/share/nvim/runtime/ftplugin.vim
087.009  000.074  000.074: sourcing /usr/share/nvim/runtime/indent.vim
088.488  001.038  001.038: sourcing /home/mason/.nvim/bundle/neobundle.vim/autoload/neobundle/commands.vim
089.986  000.845  000.845: sourcing /home/mason/.nvim/bundle/neobundle.vim/autoload/neobundle/installer.vim
091.230  000.915  000.915: sourcing /home/mason/.nvim/bundle/NeoBundle.lock
094.988  000.020  000.020: sourcing /usr/share/nvim/runtime/filetype.vim
095.307  000.015  000.015: sourcing /usr/share/nvim/runtime/ftplugin.vim
095.609  000.015  000.015: sourcing /usr/share/nvim/runtime/indent.vim
096.897  000.329  000.329: sourcing /usr/share/nvim/runtime/syntax/syncolor.vim
097.126  000.868  000.539: sourcing /usr/share/nvim/runtime/syntax/synload.vim
097.218  001.270  000.402: sourcing /usr/share/nvim/runtime/syntax/syntax.vim
098.029  000.287  000.287: sourcing /usr/share/nvim/runtime/syntax/syncolor.vim
098.834  000.272  000.272: sourcing /usr/share/nvim/runtime/syntax/syncolor.vim
099.592  000.264  000.264: sourcing /usr/share/nvim/runtime/syntax/syncolor.vim
100.284  000.286  000.286: sourcing /usr/share/nvim/runtime/syntax/syncolor.vim
100.664  003.390  002.281: sourcing /home/mason/.nvim/colors/muble.vim
101.422  000.017  000.017: sourcing /usr/share/nvim/runtime/filetype.vim
101.732  000.015  000.015: sourcing /usr/share/nvim/runtime/ftplugin.vim
102.017  000.013  000.013: sourcing /usr/share/nvim/runtime/indent.vim
102.484  099.811  049.982: sourcing ~/.nvimrc
102.496  000.188: sourcing vimrc file(s)
103.374  000.158  000.158: sourcing /home/mason/.nvim/bundle/vim-gitgutter/autoload/gitgutter/highlight.vim
104.462  001.826  001.669: sourcing /home/mason/.nvim/bundle/vim-gitgutter/plugin/gitgutter.vim
104.876  000.021  000.021: sourcing /home/mason/.nvim/bundle/syntastic/plugin/syntastic/autoloclist.vim
104.927  000.016  000.016: sourcing /home/mason/.nvim/bundle/syntastic/plugin/syntastic/balloons.vim
104.986  000.016  000.016: sourcing /home/mason/.nvim/bundle/syntastic/plugin/syntastic/checker.vim
105.031  000.015  000.015: sourcing /home/mason/.nvim/bundle/syntastic/plugin/syntastic/cursor.vim
105.076  000.016  000.016: sourcing /home/mason/.nvim/bundle/syntastic/plugin/syntastic/highlighting.vim
105.119  000.014  000.014: sourcing /home/mason/.nvim/bundle/syntastic/plugin/syntastic/loclist.vim
105.161  000.014  000.014: sourcing /home/mason/.nvim/bundle/syntastic/plugin/syntastic/modemap.vim
105.203  000.014  000.014: sourcing /home/mason/.nvim/bundle/syntastic/plugin/syntastic/notifiers.vim
105.276  000.016  000.016: sourcing /home/mason/.nvim/bundle/syntastic/plugin/syntastic/registry.vim
105.320  000.014  000.014: sourcing /home/mason/.nvim/bundle/syntastic/plugin/syntastic/signs.vim
106.063  000.521  000.521: sourcing /home/mason/.nvim/bundle/syntastic/autoload/syntastic/util.vim
116.192  000.076  000.076: sourcing /home/mason/.nvim/bundle/syntastic/plugin/syntastic/autoloclist.vim
116.328  000.088  000.088: sourcing /home/mason/.nvim/bundle/syntastic/plugin/syntastic/balloons.vim
116.627  000.264  000.264: sourcing /home/mason/.nvim/bundle/syntastic/plugin/syntastic/checker.vim
116.813  000.152  000.152: sourcing /home/mason/.nvim/bundle/syntastic/plugin/syntastic/cursor.vim
116.979  000.132  000.132: sourcing /home/mason/.nvim/bundle/syntastic/plugin/syntastic/highlighting.vim
117.484  000.469  000.469: sourcing /home/mason/.nvim/bundle/syntastic/plugin/syntastic/loclist.vim
117.658  000.138  000.138: sourcing /home/mason/.nvim/bundle/syntastic/plugin/syntastic/modemap.vim
117.762  000.079  000.079: sourcing /home/mason/.nvim/bundle/syntastic/plugin/syntastic/notifiers.vim
118.251  000.454  000.454: sourcing /home/mason/.nvim/bundle/syntastic/plugin/syntastic/registry.vim
118.495  000.155  000.155: sourcing /home/mason/.nvim/bundle/syntastic/plugin/syntastic/signs.vim
120.129  014.780  012.253: sourcing /home/mason/.nvim/bundle/syntastic/plugin/syntastic.vim
121.605  001.347  001.347: sourcing /home/mason/.nvim/bundle/tagbar/plugin/tagbar.vim
121.799  000.061  000.061: sourcing /home/mason/.nvim/bundle/Gundo/plugin/gundo.vim
122.450  000.313  000.313: sourcing /home/mason/.nvim/bundle/ctrlp.vim/autoload/ctrlp/mrufiles.vim
122.682  000.785  000.472: sourcing /home/mason/.nvim/bundle/ctrlp.vim/plugin/ctrlp.vim
123.976  000.444  000.444: sourcing /home/mason/.nvim/bundle/nerdtree/autoload/nerdtree.vim
125.889  000.679  000.679: sourcing /home/mason/.nvim/bundle/nerdtree/lib/nerdtree/path.vim
126.180  000.176  000.176: sourcing /home/mason/.nvim/bundle/nerdtree/lib/nerdtree/menu_controller.vim
126.400  000.120  000.120: sourcing /home/mason/.nvim/bundle/nerdtree/lib/nerdtree/menu_item.vim
126.647  000.151  000.151: sourcing /home/mason/.nvim/bundle/nerdtree/lib/nerdtree/key_map.vim
127.048  000.305  000.305: sourcing /home/mason/.nvim/bundle/nerdtree/lib/nerdtree/bookmark.vim
127.523  000.373  000.373: sourcing /home/mason/.nvim/bundle/nerdtree/lib/nerdtree/tree_file_node.vim
128.191  000.563  000.563: sourcing /home/mason/.nvim/bundle/nerdtree/lib/nerdtree/tree_dir_node.vim
128.627  000.316  000.316: sourcing /home/mason/.nvim/bundle/nerdtree/lib/nerdtree/opener.vim
129.048  000.323  000.323: sourcing /home/mason/.nvim/bundle/nerdtree/lib/nerdtree/creator.vim
129.206  000.066  000.066: sourcing /home/mason/.nvim/bundle/nerdtree/lib/nerdtree/flag_set.vim
129.348  000.052  000.052: sourcing /home/mason/.nvim/bundle/nerdtree/lib/nerdtree/nerdtree.vim
129.724  000.291  000.291: sourcing /home/mason/.nvim/bundle/nerdtree/lib/nerdtree/ui.vim
129.840  000.027  000.027: sourcing /home/mason/.nvim/bundle/nerdtree/lib/nerdtree/event.vim
130.075  000.147  000.147: sourcing /home/mason/.nvim/bundle/nerdtree/lib/nerdtree/notifier.vim
131.757  001.581  001.581: sourcing /home/mason/.nvim/bundle/nerdtree/autoload/nerdtree/ui_glue.vim
